Metai;Data;Vieta;Visi_ivykiai;Del_neblaiviu_vairuotoju_kaltes;Suzeistieji;Zuvusieji
2009;2009M04;salcininku r. sav.;2;0;2;0
2009;2009M04;sirvintu r. sav.;0;0;0;0
2009;2009M04;svencioniu r. sav.;0;0;0;0
2009;2009M04;Traku r. sav.;2;0;3;0
2009;2009M04;Ukmerges r. sav.;3;1;5;1
2009;2009M04;Vilniaus m. sav.;40;0;41;0
2009;2009M04;Vilniaus r. sav.;7;1;9;1
2009;2009M05;Lietuvos Respublika;367;27;432;30
2009;2009M05;Alytaus apskritis;14;1;17;1
2009;2009M05;Alytaus m. sav.;5;1;8;0
2009;2009M05;Alytaus r. sav.;4;0;5;0
2009;2009M05;Druskininku sav.;0;0;0;0
2009;2009M05;Lazdiju r. sav.;1;0;1;0
2009;2009M05;Varenos r. sav.;4;0;3;1
2009;2009M05;Kauno apskritis;101;2;122;6
2009;2009M05;Birstono sav.;2;0;1;1
2009;2009M05;Jonavos r. sav.;5;1;5;1
2009;2009M05;Kaisiadoriu r. sav.;9;1;11;0
2009;2009M05;Kauno m. sav.;61;0;74;1
2009;2009M05;Kauno r. sav.;13;0;20;1
2009;2009M05;Kedainiu r. sav.;6;0;6;1
2009;2009M05;Prienu r. sav.;4;0;4;0
2009;2009M05;Raseiniu r. sav.;1;0;1;1
2009;2009M05;Klaipedos apskritis;42;5;47;5
2009;2009M05;Klaipedos m. sav.;24;1;27;2
2009;2009M05;Klaipedos r. sav.;6;1;7;0
2009;2009M05;Kretingos r. sav.;2;0;1;1
2009;2009M05;Neringos sav.;1;0;1;0
2009;2009M05;Palangos m. sav.;0;0;0;0
2009;2009M05;Skuodo r. sav.;2;1;2;1
2009;2009M05;silutes r. sav.;7;2;9;1
2009;2009M05;Marijampoles apskritis;30;3;32;2
2009;2009M05;Kalvarijos sav.;0;0;0;0
2009;2009M05;Kazlu Rudos sav.;2;0;2;0
2009;2009M05;Marijampoles sav.;19;1;19;1
2009;2009M05;Marijampoles r. sav.;0;0;0;0
2009;2009M05;sakiu r. sav.;4;1;5;1
2009;2009M05;Vilkaviskio r. sav.;5;1;6;0
2009;2009M05;Panevezio apskritis;32;2;40;3
2009;2009M05;Birzu r. sav.;2;0;5;0
2009;2009M05;Kupiskio r. sav.;1;0;1;0
2009;2009M05;Panevezio m. sav.;14;0;17;0
2009;2009M05;Panevezio r. sav.;8;1;7;3
2009;2009M05;Pasvalio r. sav.;2;1;2;0
2009;2009M05;Rokiskio r. sav.;5;0;8;0
2009;2009M05;siauliu apskritis;39;4;48;2
2009;2009M05;Akmenes r. sav.;2;1;1;1
2009;2009M05;Joniskio r. sav.;2;0;2;0
2009;2009M05;Kelmes r. sav.;4;0;3;1
2009;2009M05;Pakruojo r. sav.;4;0;7;0
2009;2009M05;Radviliskio r. sav.;10;2;14;0
2009;2009M05;Siauliu m. sav.;12;1;15;0
2009;2009M05;siauliu r. sav.;5;0;6;0
2009;2009M05;Taurages apskritis;11;0;15;1
2009;2009M05;Jurbarko r. sav.;3;0;3;0
2009;2009M05;Pagegiu sav.;3;0;3;0
2009;2009M05;silales r. sav.;1;0;5;0
2009;2009M05;Taurages r. sav.;4;0;4;1
2009;2009M05;Telsiu apskritis;16;3;21;1
2009;2009M05;Mazeikiu r. sav.;6;1;9;0
2009;2009M05;Plunges r. sav.;4;1;4;1
2009;2009M05;Rietavo sav.;1;0;1;0
2009;2009M05;Telsiu r. sav.;5;1;7;0
2009;2009M05;Utenos apskritis;12;1;12;3
2009;2009M05;Anyksciu r. sav.;0;0;0;0
2009;2009M05;Ignalinos r. sav.;1;0;1;1
2009;2009M05;Moletu r. sav.;4;0;3;2
2009;2009M05;Utenos r. sav.;3;0;3;0
2009;2009M05;Visagino sav.;2;0;2;0
2009;2009M05;Zarasu r. sav.;2;1;3;0
2009;2009M05;Vilniaus apskritis;70;6;78;6
2009;2009M05;Elektrenu sav.;2;0;3;0
2009;2009M05;salcininku r. sav.;4;0;5;0
2009;2009M05;sirvintu r. sav.;2;0;2;0
2009;2009M05;svencioniu r. sav.;2;0;2;0
2009;2009M05;Traku r. sav.;7;2;8;1
2009;2009M05;Ukmerges r. sav.;2;1;5;1
2009;2009M05;Vilniaus m. sav.;45;2;46;3
2009;2009M05;Vilniaus r. sav.;6;1;7;1
2009;2009M06;Lietuvos Respublika;321;26;377;27
2009;2009M06;Alytaus apskritis;17;1;17;2
2009;2009M06;Alytaus m. sav.;8;0;9;0
2009;2009M06;Alytaus r. sav.;5;1;4;1
2009;2009M06;Druskininku sav.;1;0;2;0
2009;2009M06;Lazdiju r. sav.;0;0;0;0
2009;2009M06;Varenos r. sav.;3;0;2;1
2009;2009M06;Kauno apskritis;87;7;103;9
2009;2009M06;Birstono sav.;2;0;6;3
2009;2009M06;Jonavos r. sav.;6;1;8;1
2009;2009M06;Kaisiadoriu r. sav.;3;0;3;0
2009;2009M06;Kauno m. sav.;53;1;59;1
2009;2009M06;Kauno r. sav.;10;1;11;2
2009;2009M06;Kedainiu r. sav.;2;0;4;0
2009;2009M06;Prienu r. sav.;6;2;5;2
2009;2009M06;Raseiniu r. sav.;5;2;7;0
2009;2009M06;Klaipedos apskritis;35;2;40;4
2009;2009M06;Klaipedos m. sav.;19;0;19;1
2009;2009M06;Klaipedos r. sav.;2;0;3;0
2009;2009M06;Kretingos r. sav.;4;1;9;1
2009;2009M06;Neringos sav.;0;0;0;0
2009;2009M06;Palangos m. sav.;4;0;4;0
2009;2009M06;Skuodo r. sav.;2;1;2;0
2009;2009M06;silutes r. sav.;4;0;3;2
2009;2009M06;Marijampoles apskritis;23;1;33;0
2009;2009M06;Kalvarijos sav.;3;0;3;0
2009;2009M06;Kazlu Rudos sav.;2;0;3;0
2009;2009M06;Marijampoles sav.;11;1;15;0
2009;2009M06;Marijampoles r. sav.;0;0;0;0
2009;2009M06;sakiu r. sav.;5;0;10;0
2009;2009M06;Vilkaviskio r. sav.;2;0;2;0
2009;2009M06;Panevezio apskritis;23;3;24;1
2009;2009M06;Birzu r. sav.;3;2;3;0
2009;2009M06;Kupiskio r. sav.;1;1;1;0
2009;2009M06;Panevezio m. sav.;7;0;8;0
2009;2009M06;Panevezio r. sav.;2;0;2;0
2009;2009M06;Pasvalio r. sav.;3;0;2;1
2009;2009M06;Rokiskio r. sav.;7;0;8;0
2009;2009M06;siauliu apskritis;37;4;42;3
2009;2009M06;Akmenes r. sav.;5;0;6;0
2009;2009M06;Joniskio r. sav.;2;0;2;0
2009;2009M06;Kelmes r. sav.;8;4;9;2
2009;2009M06;Pakruojo r. sav.;1;0;1;0
2009;2009M06;Radviliskio r. sav.;3;0;4;0
2009;2009M06;Siauliu m. sav.;14;0;15;1
2009;2009M06;siauliu r. sav.;4;0;5;0
2009;2009M06;Taurages apskritis;13;2;23;0
2009;2009M06;Jurbarko r. sav.;3;0;4;0
2009;2009M06;Pagegiu sav.;2;0;2;0
2009;2009M06;silales r. sav.;5;2;10;0
2009;2009M06;Taurages r. sav.;3;0;7;0
2009;2009M06;Telsiu apskritis;11;0;15;0
2009;2009M06;Mazeikiu r. sav.;3;0;3;0
2009;2009M06;Plunges r. sav.;5;0;7;0
2009;2009M06;Rietavo sav.;0;0;0;0
2009;2009M06;Telsiu r. sav.;3;0;5;0
2009;2009M06;Utenos apskritis;13;4;19;3
2009;2009M06;Anyksciu r. sav.;2;1;8;1
2009;2009M06;Ignalinos r. sav.;1;1;2;0
2009;2009M06;Moletu r. sav.;4;0;4;1
2009;2009M06;Utenos r. sav.;2;0;2;0
2009;2009M06;Visagino sav.;1;0;1;0
2009;2009M06;Zarasu r. sav.;3;2;2;1
2009;2009M06;Vilniaus apskritis;62;2;61;5
2009;2009M06;Elektrenu sav.;3;1;3;1
2009;2009M06;salcininku r. sav.;3;0;3;0
2009;2009M06;sirvintu r. sav.;4;0;3;1
2009;2009M06;svencioniu r. sav.;0;0;0;0
2009;2009M06;Traku r. sav.;4;1;4;0
2009;2009M06;Ukmerges r. sav.;2;0;2;0
2009;2009M06;Vilniaus m. sav.;38;0;38;2
2009;2009M06;Vilniaus r. sav.;8;0;8;1
2009;2009M07;Lietuvos Respublika;361;31;422;35
2009;2009M07;Alytaus apskritis;24;1;24;3
2009;2009M07;Alytaus m. sav.;5;0;5;0
2009;2009M07;Alytaus r. sav.;6;0;6;2
2009;2009M07;Druskininku sav.;4;0;4;0
2009;2009M07;Lazdiju r. sav.;5;0;5;1
2009;2009M07;Varenos r. sav.;4;1;4;0
2009;2009M07;Kauno apskritis;95;4;115;7
2009;2009M07;Birstono sav.;1;0;1;0
2009;2009M07;Jonavos r. sav.;11;1;11;0
2009;2009M07;Kaisiadoriu r. sav.;5;0;9;1
2009;2009M07;Kauno m. sav.;52;1;57;1
2009;2009M07;Kauno r. sav.;19;1;27;4
2009;2009M07;Kedainiu r. sav.;3;0;4;1
2009;2009M07;Prienu r. sav.;3;1;4;0
2009;2009M07;Raseiniu r. sav.;1;0;2;0
2009;2009M07;Klaipedos apskritis;46;4;49;4
2009;2009M07;Klaipedos m. sav.;17;1;18;0
2009;2009M07;Klaipedos r. sav.;5;1;5;0
2009;2009M07;Kretingos r. sav.;3;0;3;2
2009;2009M07;Neringos sav.;4;0;3;2
2009;2009M07;Palangos m. sav.;6;0;8;0
2009;2009M07;Skuodo r. sav.;3;1;3;0
2009;2009M07;silutes r. sav.;8;1;9;0
2009;2009M07;Marijampoles apskritis;21;5;24;1
2009;2009M07;Kalvarijos sav.;1;0;1;0
2009;2009M07;Kazlu Rudos sav.;1;0;1;0
2009;2009M07;Marijampoles sav.;10;2;11;0
2009;2009M07;Marijampoles r. sav.;0;0;0;0
2009;2009M07;sakiu r. sav.;6;1;6;1
2009;2009M07;Vilkaviskio r. sav.;3;2;5;0
2009;2009M07;Panevezio apskritis;25;1;30;3
2009;2009M07;Birzu r. sav.;2;0;2;0
2009;2009M07;Kupiskio r. sav.;0;0;0;0
2009;2009M07;Panevezio m. sav.;12;0;17;0
2009;2009M07;Panevezio r. sav.;3;0;3;1
2009;2009M07;Pasvalio r. sav.;4;1;4;2
2009;2009M07;Rokiskio r. sav.;4;0;4;0
2009;2009M07;siauliu apskritis;37;4;46;4
2009;2009M07;Akmenes r. sav.;2;0;3;0
2009;2009M07;Joniskio r. sav.;1;0;0;1
2009;2009M07;Kelmes r. sav.;7;1;6;1
2009;2009M07;Pakruojo r. sav.;3;0;3;0
2009;2009M07;Radviliskio r. sav.;6;2;8;1
2009;2009M07;Siauliu m. sav.;14;0;20;0
2009;2009M07;siauliu r. sav.;4;1;6;1
2009;2009M07;Taurages apskritis;17;2;17;3
2009;2009M07;Jurbarko r. sav.;6;0;6;1
2009;2009M07;Pagegiu sav.;1;0;1;0
